"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"26","52","52","52","0.152497129885209","0.152497129885209","0.152497129885209"
"27","54","54","54","0.15261060651722616","0.15261060651722616","0.15261060651722616"
"28","56","56","56","0.1528522396797619","0.1528522396797619","0.1528522396797619"
"29","58","58","58","0.147631045192282","0.147631045192282","0.147631045192282"
"30","60","60","60","0.14851203733485333","0.14851203733485333","0.14851203733485333"
"31","62","62","62","0.15014389112654838","0.15014389112654838","0.15014389112654838"
"32","64","64","64","0.1469762294703524","0.1469762294703524","0.1469762294703524"
"33","66","66","66","0.14397665486916741","0.14397665486916741","0.14397665486916741"
"34","68","68","68","0.1433579856838117","0.1433579856838117","0.1433579856838117"
"35","70","70","70","0.14451954160522146","0.14451954160522146","0.14451954160522146"
"36","72","72","72","0.15430912745823688","0.15430912745823688","0.15430912745823688"
"37","74","74","74","0.14506105851129647","0.14506105851129647","0.14506105851129647"
"38","76","76","76","0.1440375811304178","0.1440375811304178","0.1440375811304178"
"39","78","78","78","0.14257711399191","0.14257711399191","0.14257711399191"
"40","80","80","80","0.13783170160625238","0.13783170160625238","0.13783170160625238"
"41","82","82","82","0.1380177957244159","0.1380177957244159","0.1380177957244159"
"42","84","84","84","0.14073819890801934","0.14073819890801934","0.14073819890801934"
"43","86","86","86","0.14145363963043342","0.14145363963043342","0.14145363963043342"
"44","88","88","88","0.14007157133668552","0.14007157133668552","0.14007157133668552"
"45","90","90","90","0.13751045756579572","0.13751045756579572","0.13751045756579572"
"46","92","92","92","0.138271909797742","0.138271909797742","0.138271909797742"
"47","94","94","94","0.139504107493743","0.139504107493743","0.139504107493743"
"48","96","96","96","0.13619959651021302","0.13619959651021302","0.13619959651021302"
"49","98","98","98","0.13839043899740697","0.13839043899740697","0.13839043899740697"
"50","100","100","100","0.1395799606028051","0.1395799606028051","0.1395799606028051"
"51","102","102","102","0.13610593805294968","0.13610593805294968","0.13610593805294968"
"52","104","104","104","0.13652991014831753","0.13652991014831753","0.13652991014831753"
"53","106","106","106","0.13503603122653152","0.13503603122653152","0.13503603122653152"
"54","108","108","108","0.13670702630453654","0.13670702630453654","0.13670702630453654"
"55","110","110","110","0.1359545916327137","0.1359545916327137","0.1359545916327137"
"56","112","112","112","0.1330355121924387","0.1330355121924387","0.1330355121924387"
"57","114","114","114","0.13403841636398076","0.13403841636398076","0.13403841636398076"
"58","116","116","116","0.1348684744319454","0.1348684744319454","0.1348684744319454"
"59","118","118","118","0.13475528260723887","0.13475528260723887","0.13475528260723887"
