"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"82","164","164","164","0.13054650387371383","0.13054650387371383","0.13054650387371383"
"83","166","166","166","0.13127686436935132","0.13127686436935132","0.13127686436935132"
"84","168","168","168","0.13577206189918978","0.13577206189918978","0.13577206189918978"
"85","170","170","170","0.13140290319264308","0.13140290319264308","0.13140290319264308"
"86","172","172","172","0.13245176876050893","0.13245176876050893","0.13245176876050893"
"87","174","174","174","0.13086543241900003","0.13086543241900003","0.13086543241900003"
"88","176","176","176","0.13154667257061461","0.13154667257061461","0.13154667257061461"
"89","178","178","178","0.12818336075197134","0.12818336075197134","0.12818336075197134"
"90","180","180","180","0.1317868246984489","0.1317868246984489","0.1317868246984489"
"91","182","182","182","0.13226433292761136","0.13226433292761136","0.13226433292761136"
"92","184","184","184","0.13114733318336327","0.13114733318336327","0.13114733318336327"
"93","186","186","186","0.13118052859136736","0.13118052859136736","0.13118052859136736"
"94","188","188","188","0.13066446296945466","0.13066446296945466","0.13066446296945466"
"95","190","190","190","0.13041280040001516","0.13041280040001516","0.13041280040001516"
"96","192","192","192","0.13168984630093308","0.13168984630093308","0.13168984630093308"
"97","194","194","194","0.12973784480510908","0.12973784480510908","0.12973784480510908"
"98","196","196","196","0.12959130262652793","0.12959130262652793","0.12959130262652793"
"99","198","198","198","0.1302696742441866","0.1302696742441866","0.1302696742441866"
"100","200","200","200","0.1292329677828019","0.1292329677828019","0.1292329677828019"
"101","202","202","202","0.13063920544879104","0.13063920544879104","0.13063920544879104"
"102","204","204","204","0.13024803020428855","0.13024803020428855","0.13024803020428855"
"103","206","206","206","0.1290279496313778","0.1290279496313778","0.1290279496313778"
"104","208","208","208","0.1271314970610742","0.1271314970610742","0.1271314970610742"
"105","210","210","210","0.12818442397244922","0.12818442397244922","0.12818442397244922"
"106","212","212","212","0.12760314999143474","0.12760314999143474","0.12760314999143474"
"107","214","214","214","0.1291304006274945","0.1291304006274945","0.1291304006274945"
"108","216","216","216","0.12837585435829796","0.12837585435829796","0.12837585435829796"
"109","218","218","218","0.13042892476184353","0.13042892476184353","0.13042892476184353"
"110","220","220","220","0.1298417513523589","0.1298417513523589","0.1298417513523589"
"111","222","222","222","0.1317617637943679","0.1317617637943679","0.1317617637943679"
"112","224","224","224","0.12694755061698457","0.12694755061698457","0.12694755061698457"
"113","226","226","226","0.1288891709742844","0.1288891709742844","0.1288891709742844"
"114","228","228","228","0.12988768316541519","0.12988768316541519","0.12988768316541519"
"115","230","230","230","0.12836656567244334","0.12836656567244334","0.12836656567244334"
"116","232","232","232","0.12915251135500572","0.12915251135500572","0.12915251135500572"
"117","234","234","234","0.12760410706735462","0.12760410706735462","0.12760410706735462"
"118","236","236","236","0.12856644580624055","0.12856644580624055","0.12856644580624055"
"119","238","238","238","0.12879589129435837","0.12879589129435837","0.12879589129435837"
"120","240","240","240","0.12929570777878024","0.12929570777878024","0.12929570777878024"
"121","242","242","242","0.12667412977582942","0.12667412977582942","0.12667412977582942"
"122","244","244","244","0.12977214332183015","0.12977214332183015","0.12977214332183015"
"123","246","246","246","0.13302557983843782","0.13302557983843782","0.13302557983843782"
"124","248","248","248","0.1267839181977793","0.1267839181977793","0.1267839181977793"
"125","250","250","250","0.12847114844558002","0.12847114844558002","0.12847114844558002"
"126","252","252","252","0.12626197429727534","0.12626197429727534","0.12626197429727534"
"127","254","254","254","0.12643637682152098","0.12643637682152098","0.12643637682152098"
"128","256","256","256","0.12612669418754474","0.12612669418754474","0.12612669418754474"
"129","258","258","258","0.12787532291289447","0.12787532291289447","0.12787532291289447"
"130","260","260","260","0.12862289141984684","0.12862289141984684","0.12862289141984684"
"131","262","262","262","0.1267423473126489","0.1267423473126489","0.1267423473126489"
"132","264","264","264","0.1243532626465565","0.1243532626465565","0.1243532626465565"
"133","266","266","266","0.1287277389181858","0.1287277389181858","0.1287277389181858"
"134","268","268","268","0.12969233279818843","0.12969233279818843","0.12969233279818843"
"135","270","270","270","0.12689332436139003","0.12689332436139003","0.12689332436139003"
"136","272","272","272","0.12801593296416117","0.12801593296416117","0.12801593296416117"
"137","274","274","274","0.12725165215981035","0.12725165215981035","0.12725165215981035"
"138","276","276","276","0.12620119922892797","0.12620119922892797","0.12620119922892797"
"139","278","278","278","0.12751630082994853","0.12751630082994853","0.12751630082994853"
"140","280","280","280","0.12937654713784943","0.12937654713784943","0.12937654713784943"
"141","282","282","282","0.1292504643805417","0.1292504643805417","0.1292504643805417"
"142","284","284","284","0.12899269720503082","0.12899269720503082","0.12899269720503082"
"143","286","286","286","0.13120932603693822","0.13120932603693822","0.13120932603693822"
"144","288","288","288","0.12731172157249276","0.12731172157249276","0.12731172157249276"
"145","290","290","290","0.12907543035154062","0.12907543035154062","0.12907543035154062"
"146","292","292","292","0.13027446251326397","0.13027446251326397","0.13027446251326397"
"147","294","294","294","0.12882043319816922","0.12882043319816922","0.12882043319816922"
"148","296","296","296","0.12871196979742047","0.12871196979742047","0.12871196979742047"
"149","298","298","298","0.1284958851341477","0.1284958851341477","0.1284958851341477"
"150","300","300","300","0.12629609557486868","0.12629609557486868","0.12629609557486868"
"151","302","302","302","0.1263756440689157","0.1263756440689157","0.1263756440689157"
"152","304","304","304","0.12752757392958913","0.12752757392958913","0.12752757392958913"
"153","306","306","306","0.12927614605127594","0.12927614605127594","0.12927614605127594"
"154","308","308","308","0.127439979756816","0.127439979756816","0.127439979756816"
"155","310","310","310","0.12674950478163638","0.12674950478163638","0.12674950478163638"
"156","312","312","312","0.1290660120205274","0.1290660120205274","0.1290660120205274"
"157","314","314","314","0.1271688981745663","0.1271688981745663","0.1271688981745663"
