"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.3313485393931293","0.3313485393931293","0.3313485393931293"
"1","2","2","2","0.28583348492583466","0.28583348492583466","0.28583348492583466"
"2","4","4","4","0.26391457473562513","0.26391457473562513","0.26391457473562513"
"3","6","6","6","0.25467522196724235","0.25467522196724235","0.25467522196724235"
"4","8","8","8","0.24867603741932362","0.24867603741932362","0.24867603741932362"
"5","10","10","10","0.23552648216540661","0.23552648216540661","0.23552648216540661"
"6","12","12","12","0.23345627046888873","0.23345627046888873","0.23345627046888873"
"7","14","14","14","0.22044401272183906","0.22044401272183906","0.22044401272183906"
"8","16","16","16","0.20187525061095726","0.20187525061095726","0.20187525061095726"
"9","18","18","18","0.1976862406717583","0.1976862406717583","0.1976862406717583"
"10","20","20","20","0.19340138956672911","0.19340138956672911","0.19340138956672911"
"11","22","22","22","0.19489099919311198","0.19489099919311198","0.19489099919311198"
"12","24","24","24","0.1921138342396438","0.1921138342396438","0.1921138342396438"
"13","26","26","26","0.18110293145912953","0.18110293145912953","0.18110293145912953"
"14","28","28","28","0.1803416559944489","0.1803416559944489","0.1803416559944489"
"15","30","30","30","0.17176910171265364","0.17176910171265364","0.17176910171265364"
"16","32","32","32","0.1683901306309631","0.1683901306309631","0.1683901306309631"
"17","34","34","34","0.16707482951049415","0.16707482951049415","0.16707482951049415"
"18","36","36","36","0.16440939056301118","0.16440939056301118","0.16440939056301118"
"19","38","38","38","0.1621858115217303","0.1621858115217303","0.1621858115217303"
"20","40","40","40","0.16711024151011467","0.16711024151011467","0.16711024151011467"
"21","42","42","42","0.16213361039682433","0.16213361039682433","0.16213361039682433"
"22","44","44","44","0.16636955289437141","0.16636955289437141","0.16636955289437141"
"23","46","46","46","0.1557340493820753","0.1557340493820753","0.1557340493820753"
"24","48","48","48","0.15220059842135114","0.15220059842135114","0.15220059842135114"
"25","50","50","50","0.15467990016371438","0.15467990016371438","0.15467990016371438"
"26","52","52","52","0.1511359659814073","0.1511359659814073","0.1511359659814073"
"27","54","54","54","0.15278500517092722","0.15278500517092722","0.15278500517092722"
"28","56","56","56","0.14783328275573115","0.14783328275573115","0.14783328275573115"
"29","58","58","58","0.15436208883409835","0.15436208883409835","0.15436208883409835"
"30","60","60","60","0.14824788497410452","0.14824788497410452","0.14824788497410452"
"31","62","62","62","0.14577259742641838","0.14577259742641838","0.14577259742641838"
"32","64","64","64","0.14680172710700123","0.14680172710700123","0.14680172710700123"
"33","66","66","66","0.14343549133903968","0.14343549133903968","0.14343549133903968"
"34","68","68","68","0.14418705288585226","0.14418705288585226","0.14418705288585226"
"35","70","70","70","0.14219982565209816","0.14219982565209816","0.14219982565209816"
"36","72","72","72","0.14204061429738044","0.14204061429738044","0.14204061429738044"
"37","74","74","74","0.14122105700466703","0.14122105700466703","0.14122105700466703"
"38","76","76","76","0.1518161998541723","0.1518161998541723","0.1518161998541723"
"39","78","78","78","0.14434146967725434","0.14434146967725434","0.14434146967725434"
"40","80","80","80","0.13859664852717","0.13859664852717","0.13859664852717"
"41","82","82","82","0.14082397272021227","0.14082397272021227","0.14082397272021227"
"42","84","84","84","0.13941410778065266","0.13941410778065266","0.13941410778065266"
"43","86","86","86","0.14089561824263233","0.14089561824263233","0.14089561824263233"
"44","88","88","88","0.14084226110088627","0.14084226110088627","0.14084226110088627"
"45","90","90","90","0.13964709023564106","0.13964709023564106","0.13964709023564106"
"46","92","92","92","0.13606882316304303","0.13606882316304303","0.13606882316304303"
"47","94","94","94","0.1352163908746433","0.1352163908746433","0.1352163908746433"
"48","96","96","96","0.13526340075641347","0.13526340075641347","0.13526340075641347"
"49","98","98","98","0.13471818553598003","0.13471818553598003","0.13471818553598003"
"50","100","100","100","0.13867858627323135","0.13867858627323135","0.13867858627323135"
"51","102","102","102","0.13558495035556326","0.13558495035556326","0.13558495035556326"
"52","104","104","104","0.13459765993776193","0.13459765993776193","0.13459765993776193"
"53","106","106","106","0.1333562847383223","0.1333562847383223","0.1333562847383223"
"54","108","108","108","0.13860036064223957","0.13860036064223957","0.13860036064223957"
"55","110","110","110","0.13605993416678444","0.13605993416678444","0.13605993416678444"
"56","112","112","112","0.13611119836784874","0.13611119836784874","0.13611119836784874"
"57","114","114","114","0.13340992484519726","0.13340992484519726","0.13340992484519726"
"58","116","116","116","0.13538071061472656","0.13538071061472656","0.13538071061472656"
"59","118","118","118","0.13433777406329048","0.13433777406329048","0.13433777406329048"
"60","120","120","120","0.13947048830069753","0.13947048830069753","0.13947048830069753"
"61","122","122","122","0.1342140932434271","0.1342140932434271","0.1342140932434271"
"62","124","124","124","0.132177907177603","0.132177907177603","0.132177907177603"
"63","126","126","126","0.13355142905003908","0.13355142905003908","0.13355142905003908"
"64","128","128","128","0.13306678546515746","0.13306678546515746","0.13306678546515746"
