"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"26","52","52","52","0.152705170762325","0.152705170762325","0.152705170762325"
"27","54","54","54","0.14907024013355696","0.14907024013355696","0.14907024013355696"
"28","56","56","56","0.1494680942838847","0.1494680942838847","0.1494680942838847"
"29","58","58","58","0.15294665492232215","0.15294665492232215","0.15294665492232215"
"30","60","60","60","0.1486597445981171","0.1486597445981171","0.1486597445981171"
"31","62","62","62","0.14979627436232276","0.14979627436232276","0.14979627436232276"
"32","64","64","64","0.15383970343772044","0.15383970343772044","0.15383970343772044"
"33","66","66","66","0.1466985137787988","0.1466985137787988","0.1466985137787988"
"34","68","68","68","0.14437994267073284","0.14437994267073284","0.14437994267073284"
"35","70","70","70","0.14294693049834928","0.14294693049834928","0.14294693049834928"
"36","72","72","72","0.14329713075986442","0.14329713075986442","0.14329713075986442"
"37","74","74","74","0.141657773546763","0.141657773546763","0.141657773546763"
"38","76","76","76","0.14095169390777126","0.14095169390777126","0.14095169390777126"
"39","78","78","78","0.14664162335419656","0.14664162335419656","0.14664162335419656"
"40","80","80","80","0.14091449221433366","0.14091449221433366","0.14091449221433366"
"41","82","82","82","0.14159440392891853","0.14159440392891853","0.14159440392891853"
"42","84","84","84","0.1395285508591917","0.1395285508591917","0.1395285508591917"
"43","86","86","86","0.13835254042452397","0.13835254042452397","0.13835254042452397"
"44","88","88","88","0.14029079727703794","0.14029079727703794","0.14029079727703794"
"45","90","90","90","0.1407355714425158","0.1407355714425158","0.1407355714425158"
"46","92","92","92","0.1366407921154172","0.1366407921154172","0.1366407921154172"
"47","94","94","94","0.13784524673833914","0.13784524673833914","0.13784524673833914"
"48","96","96","96","0.13648224355513464","0.13648224355513464","0.13648224355513464"
"49","98","98","98","0.1391968837833885","0.1391968837833885","0.1391968837833885"
"50","100","100","100","0.1345985271633489","0.1345985271633489","0.1345985271633489"
"51","102","102","102","0.1395712277444523","0.1395712277444523","0.1395712277444523"
"52","104","104","104","0.13935394942330387","0.13935394942330387","0.13935394942330387"
"53","106","106","106","0.13543950516976944","0.13543950516976944","0.13543950516976944"
"54","108","108","108","0.13547231219591183","0.13547231219591183","0.13547231219591183"
"55","110","110","110","0.13351436965524896","0.13351436965524896","0.13351436965524896"
"56","112","112","112","0.13757030259979297","0.13757030259979297","0.13757030259979297"
"57","114","114","114","0.1367666611787278","0.1367666611787278","0.1367666611787278"
"58","116","116","116","0.1355204343995395","0.1355204343995395","0.1355204343995395"
"59","118","118","118","0.13745220714874234","0.13745220714874234","0.13745220714874234"
"60","120","120","120","0.13385562473448862","0.13385562473448862","0.13385562473448862"
"61","122","122","122","0.13551963087941138","0.13551963087941138","0.13551963087941138"
"62","124","124","124","0.1340112918378381","0.1340112918378381","0.1340112918378381"
"63","126","126","126","0.13301338419926992","0.13301338419926992","0.13301338419926992"
"64","128","128","128","0.13155440027038862","0.13155440027038862","0.13155440027038862"
"65","130","130","130","0.1340370337447095","0.1340370337447095","0.1340370337447095"
"66","132","132","132","0.1319085711541729","0.1319085711541729","0.1319085711541729"
"67","134","134","134","0.13141598537002716","0.13141598537002716","0.13141598537002716"
"68","136","136","136","0.13215798621883665","0.13215798621883665","0.13215798621883665"
"69","138","138","138","0.1331478076048247","0.1331478076048247","0.1331478076048247"
"70","140","140","140","0.13126789261670732","0.13126789261670732","0.13126789261670732"
"71","142","142","142","0.1317062682418778","0.1317062682418778","0.1317062682418778"
"72","144","144","144","0.1330011347484399","0.1330011347484399","0.1330011347484399"
"73","146","146","146","0.13307310756578494","0.13307310756578494","0.13307310756578494"
"74","148","148","148","0.13220183929923854","0.13220183929923854","0.13220183929923854"
"75","150","150","150","0.13233503851256184","0.13233503851256184","0.13233503851256184"
"76","152","152","152","0.13270326083548026","0.13270326083548026","0.13270326083548026"
"77","154","154","154","0.1311927854411319","0.1311927854411319","0.1311927854411319"
"78","156","156","156","0.13561374855870217","0.13561374855870217","0.13561374855870217"
