"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.33302656161418465","0.33302656161418465","0.33302656161418465"
"1","2","2","2","0.2911921434555275","0.2911921434555275","0.2911921434555275"
"2","4","4","4","0.2697339845120705","0.2697339845120705","0.2697339845120705"
"3","6","6","6","0.25621349765229384","0.25621349765229384","0.25621349765229384"
"4","8","8","8","0.25309623382555707","0.25309623382555707","0.25309623382555707"
"5","10","10","10","0.23174756212151407","0.23174756212151407","0.23174756212151407"
"6","12","12","12","0.221005667393479","0.221005667393479","0.221005667393479"
"7","14","14","14","0.21532712572646467","0.21532712572646467","0.21532712572646467"
"8","16","16","16","0.20977648085049125","0.20977648085049125","0.20977648085049125"
"9","18","18","18","0.20245593329896902","0.20245593329896902","0.20245593329896902"
"10","20","20","20","0.20818314699620652","0.20818314699620652","0.20818314699620652"
"11","22","22","22","0.18809345135173808","0.18809345135173808","0.18809345135173808"
"12","24","24","24","0.18687588850819212","0.18687588850819212","0.18687588850819212"
"13","26","26","26","0.18368114548223002","0.18368114548223002","0.18368114548223002"
"14","28","28","28","0.1807175653178256","0.1807175653178256","0.1807175653178256"
"15","30","30","30","0.1700738687106614","0.1700738687106614","0.1700738687106614"
"16","32","32","32","0.17966321944809932","0.17966321944809932","0.17966321944809932"
"17","34","34","34","0.17030859971759169","0.17030859971759169","0.17030859971759169"
"18","36","36","36","0.17211181782570018","0.17211181782570018","0.17211181782570018"
"19","38","38","38","0.17380148270666623","0.17380148270666623","0.17380148270666623"
"20","40","40","40","0.16522436625968784","0.16522436625968784","0.16522436625968784"
"21","42","42","42","0.17162015737946854","0.17162015737946854","0.17162015737946854"
"22","44","44","44","0.15887542309220726","0.15887542309220726","0.15887542309220726"
"23","46","46","46","0.16175436410941713","0.16175436410941713","0.16175436410941713"
"24","48","48","48","0.15735047976637812","0.15735047976637812","0.15735047976637812"
"25","50","50","50","0.15557138611657548","0.15557138611657548","0.15557138611657548"
"26","52","52","52","0.15086756604839566","0.15086756604839566","0.15086756604839566"
"27","54","54","54","0.15429483358772972","0.15429483358772972","0.15429483358772972"
"28","56","56","56","0.14782740157122992","0.14782740157122992","0.14782740157122992"
"29","58","58","58","0.1490204217404627","0.1490204217404627","0.1490204217404627"
"30","60","60","60","0.1519392210215348","0.1519392210215348","0.1519392210215348"
"31","62","62","62","0.1453955866025192","0.1453955866025192","0.1453955866025192"
"32","64","64","64","0.14798701296337993","0.14798701296337993","0.14798701296337993"
"33","66","66","66","0.14265706441991424","0.14265706441991424","0.14265706441991424"
"34","68","68","68","0.14185046873467955","0.14185046873467955","0.14185046873467955"
"35","70","70","70","0.14219124935651115","0.14219124935651115","0.14219124935651115"
"36","72","72","72","0.1424849576013507","0.1424849576013507","0.1424849576013507"
"37","74","74","74","0.139700495518343","0.139700495518343","0.139700495518343"
"38","76","76","76","0.14064810883363216","0.14064810883363216","0.14064810883363216"
"39","78","78","78","0.14174684441620547","0.14174684441620547","0.14174684441620547"
"40","80","80","80","0.13942837489750667","0.13942837489750667","0.13942837489750667"
"41","82","82","82","0.14128693049354352","0.14128693049354352","0.14128693049354352"
"42","84","84","84","0.1405210073410794","0.1405210073410794","0.1405210073410794"
"43","86","86","86","0.137796503529756","0.137796503529756","0.137796503529756"
"44","88","88","88","0.13805034622766557","0.13805034622766557","0.13805034622766557"
"45","90","90","90","0.13494117872212","0.13494117872212","0.13494117872212"
"46","92","92","92","0.13822228178413304","0.13822228178413304","0.13822228178413304"
"47","94","94","94","0.14052450477527076","0.14052450477527076","0.14052450477527076"
"48","96","96","96","0.13574595697940836","0.13574595697940836","0.13574595697940836"
"49","98","98","98","0.13773150156279224","0.13773150156279224","0.13773150156279224"
"50","100","100","100","0.1343210672152805","0.1343210672152805","0.1343210672152805"
"51","102","102","102","0.13501296144235178","0.13501296144235178","0.13501296144235178"
"52","104","104","104","0.13712272330198313","0.13712272330198313","0.13712272330198313"
"53","106","106","106","0.13235416185926283","0.13235416185926283","0.13235416185926283"
"54","108","108","108","0.13644306808090012","0.13644306808090012","0.13644306808090012"
"55","110","110","110","0.13540363915160394","0.13540363915160394","0.13540363915160394"
"56","112","112","112","0.13443963302012613","0.13443963302012613","0.13443963302012613"
"57","114","114","114","0.13405155900561327","0.13405155900561327","0.13405155900561327"
"58","116","116","116","0.13610122717406595","0.13610122717406595","0.13610122717406595"
"59","118","118","118","0.132091946637543","0.132091946637543","0.132091946637543"
"60","120","120","120","0.1370484780026335","0.1370484780026335","0.1370484780026335"
"61","122","122","122","0.13575153864267955","0.13575153864267955","0.13575153864267955"
"62","124","124","124","0.1327168196162943","0.1327168196162943","0.1327168196162943"
"63","126","126","126","0.1345509171821657","0.1345509171821657","0.1345509171821657"
"64","128","128","128","0.1309909469953416","0.1309909469953416","0.1309909469953416"
"65","130","130","130","0.1350594968205139","0.1350594968205139","0.1350594968205139"
"66","132","132","132","0.1320988895563711","0.1320988895563711","0.1320988895563711"
"67","134","134","134","0.1316331778634691","0.1316331778634691","0.1316331778634691"
"68","136","136","136","0.1334696073656062","0.1334696073656062","0.1334696073656062"
"69","138","138","138","0.1353237381998546","0.1353237381998546","0.1353237381998546"
"70","140","140","140","0.12961248623732727","0.12961248623732727","0.12961248623732727"
"71","142","142","142","0.12737198420541135","0.12737198420541135","0.12737198420541135"
"72","144","144","144","0.13337477644079246","0.13337477644079246","0.13337477644079246"
"73","146","146","146","0.13175436063322907","0.13175436063322907","0.13175436063322907"
"74","148","148","148","0.13658355343240117","0.13658355343240117","0.13658355343240117"
"75","150","150","150","0.1327506894762335","0.1327506894762335","0.1327506894762335"
"76","152","152","152","0.1309489968567567","0.1309489968567567","0.1309489968567567"
"77","154","154","154","0.12744364421410637","0.12744364421410637","0.12744364421410637"
"78","156","156","156","0.1324052321104322","0.1324052321104322","0.1324052321104322"
"79","158","158","158","0.13097475385577348","0.13097475385577348","0.13097475385577348"
"80","160","160","160","0.131726845607622","0.131726845607622","0.131726845607622"
"81","162","162","162","0.13052304391123884","0.13052304391123884","0.13052304391123884"
"82","164","164","164","0.12864045380416814","0.12864045380416814","0.12864045380416814"
"83","166","166","166","0.13118466397630965","0.13118466397630965","0.13118466397630965"
"84","168","168","168","0.13083159308504497","0.13083159308504497","0.13083159308504497"
"85","170","170","170","0.1282382997074093","0.1282382997074093","0.1282382997074093"
"86","172","172","172","0.1295075473371962","0.1295075473371962","0.1295075473371962"
"87","174","174","174","0.12942350512041736","0.12942350512041736","0.12942350512041736"
"88","176","176","176","0.13004339466354603","0.13004339466354603","0.13004339466354603"
"89","178","178","178","0.12968341205243844","0.12968341205243844","0.12968341205243844"
"90","180","180","180","0.12994486488666407","0.12994486488666407","0.12994486488666407"
"91","182","182","182","0.12841598587941983","0.12841598587941983","0.12841598587941983"
"92","184","184","184","0.13208371105197633","0.13208371105197633","0.13208371105197633"
"93","186","186","186","0.13066856083585962","0.13066856083585962","0.13066856083585962"
"94","188","188","188","0.1269018136300763","0.1269018136300763","0.1269018136300763"
"95","190","190","190","0.1306044404212238","0.1306044404212238","0.1306044404212238"
"96","192","192","192","0.127181730846075","0.127181730846075","0.127181730846075"
"97","194","194","194","0.12782458581904474","0.12782458581904474","0.12782458581904474"
"98","196","196","196","0.12971567666279932","0.12971567666279932","0.12971567666279932"
"99","198","198","198","0.1287566830144294","0.1287566830144294","0.1287566830144294"
"100","200","200","200","0.12859294935276713","0.12859294935276713","0.12859294935276713"
"101","202","202","202","0.13189772676417047","0.13189772676417047","0.13189772676417047"
"102","204","204","204","0.13012184245676986","0.13012184245676986","0.13012184245676986"
"103","206","206","206","0.1280945969017219","0.1280945969017219","0.1280945969017219"
"104","208","208","208","0.12987447806296648","0.12987447806296648","0.12987447806296648"
"105","210","210","210","0.1254824653582587","0.1254824653582587","0.1254824653582587"
"106","212","212","212","0.12677383738968576","0.12677383738968576","0.12677383738968576"
"107","214","214","214","0.12654899396252398","0.12654899396252398","0.12654899396252398"
"108","216","216","216","0.1273780265259633","0.1273780265259633","0.1273780265259633"
"109","218","218","218","0.12761497586551981","0.12761497586551981","0.12761497586551981"
"110","220","220","220","0.1279900711804528","0.1279900711804528","0.1279900711804528"
"111","222","222","222","0.13176297318970606","0.13176297318970606","0.13176297318970606"
"112","224","224","224","0.13030481316808482","0.13030481316808482","0.13030481316808482"
"113","226","226","226","0.12494179621854376","0.12494179621854376","0.12494179621854376"
"114","228","228","228","0.12883398627897058","0.12883398627897058","0.12883398627897058"
"115","230","230","230","0.1269403936342249","0.1269403936342249","0.1269403936342249"
"116","232","232","232","0.12826965872724158","0.12826965872724158","0.12826965872724158"
"117","234","234","234","0.12756503011245762","0.12756503011245762","0.12756503011245762"
"118","236","236","236","0.12875395829615527","0.12875395829615527","0.12875395829615527"
"119","238","238","238","0.12701768267198288","0.12701768267198288","0.12701768267198288"
"120","240","240","240","0.13006446353863632","0.13006446353863632","0.13006446353863632"
"121","242","242","242","0.12740809616363546","0.12740809616363546","0.12740809616363546"
"122","244","244","244","0.12761753761616526","0.12761753761616526","0.12761753761616526"
