"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - ci_val","wurdinger_fnn_testset.yaml - ci_val__MIN","wurdinger_fnn_testset.yaml - ci_val__MAX"
"0","0","0","0","0.7076353033311819","0.6969085991790578","0.7152691454235255"
"1","2","2","2","0.7351469538889794","0.7270664079347668","0.7404332265647653"
"2","4","4","4","0.754785708830918","0.7482886568503058","0.7583353536035456"
"3","6","6","6","0.7683943577852699","0.7602795964422739","0.772266093025537"
"4","8","8","8","0.7755809242399759","0.7681641365661785","0.7797993106836181"
"5","10","10","10","0.781322177577995","0.7747016140214715","0.7841510959361466"
"6","12","12","12","0.7883748738599767","0.7834707929098966","0.7935398554074442"
"7","14","14","14","0.7924843463918211","0.7865712761561043","0.7970018017952119"
"8","16","16","16","0.7958447329383584","0.7890918264891376","0.7990692377599061"
"9","18","18","18","0.796831010988262","0.7917805085652899","0.8001040788160175"
"10","20","20","20","0.8020714541081425","0.796704366114209","0.8062629613333474"
"11","22","22","22","0.8045182046481667","0.7999264834621861","0.809898573198368"
"12","24","24","24","0.8051469753529503","0.8016316135631246","0.8090055767235255"
"13","26","26","26","0.8080936682156133","0.80508445141779","0.8118223876420955"
"14","28","28","28","0.8089786983946562","0.8051950181731218","0.8138215072149944"
"15","30","30","30","0.813268858074523","0.8091870553074981","0.8148558563443911"
"16","32","32","32","0.8139647859703325","0.8094106661461491","0.8209864993730094"
"17","34","34","34","0.8133056627839498","0.8101200319990277","0.8172870542070966"
"18","36","36","36","0.8167491787056527","0.8107895133327706","0.8240868487304354"
"19","38","38","38","0.8162027324763097","0.8120483853005666","0.8234521788972013"
"20","40","40","40","0.8182295035300179","0.8126967734680519","0.8238707317278707"
"21","42","42","42","0.8184844582977646","0.815054581351111","0.8219394221576318"
"22","44","44","44","0.8197318887813037","0.8162339438048386","0.8242517960479334"
"23","46","46","46","0.820376544693473","0.8174956156820691","0.8249904496258604"
"24","48","48","48","0.8241110979576087","0.8183684383465485","0.8319207524958269"
"25","50","50","50","0.8219284827030089","0.8179775958401124","0.8243989337803542"
"26","52","52","52","0.8250090288237832","0.8204069621337938","0.8292447924123015"
"27","54","54","54","0.8261136303932055","0.8201054829892941","0.830458646047473"
"28","56","56","56","0.8269145080972378","0.8233641988157074","0.8309753451857859"
"29","58","58","58","0.8266337650034824","0.8241086406122935","0.8319240275689436"
"30","60","60","60","0.8264518196439712","0.8215537658167149","0.8301781027283206"
"31","62","62","62","0.8279027648737332","0.8246122072332069","0.8322579894611387"
"32","64","64","64","0.8290321476770686","0.8246378720603611","0.8378966318786755"
"33","66","66","66","0.8300219171561783","0.8269429938399648","0.8363837042405255"
"34","68","68","68","0.8308991903310178","0.8275655728479223","0.8346538801485128"
"35","70","70","70","0.8316957877397007","0.8276396386778371","0.8347399220866714"
"36","72","72","72","0.8323677208889471","0.8288370903117417","0.8373163998801237"
"37","74","74","74","0.8326827695115598","0.8288152860123935","0.8384145803882259"
"38","76","76","76","0.8323705531935163","0.8296909217942022","0.8354245842489393"
"39","78","78","78","0.8324627754300143","0.8308339390273439","0.8356958395924565"
"40","80","80","80","0.8330348969995389","0.8302094290017938","0.8353750031780792"
"41","82","82","82","0.8340089880748991","0.8304757121877383","0.837517462291983"
"42","84","84","84","0.8344421502684435","0.8294570527560045","0.8369393487743892"
"43","86","86","86","0.8354499234925147","0.8317893625938032","0.8383829825798566"
"44","88","88","88","0.8357010685851403","0.8313900754736312","0.8395324610658059"
"45","90","90","90","0.8374736315411576","0.8352133801016354","0.8405375433746546"
"46","92","92","92","0.8381223515572385","0.8347311094822971","0.8409857430953391"
"47","94","94","94","0.8369196353250794","0.8331379226344182","0.8415719148532573"
"48","96","96","96","0.8384848061088566","0.8354540593730043","0.8423902267993562"
"49","98","98","98","0.8389883042255034","0.8362456294128692","0.8412433368658983"
"50","100","100","100","0.838971383872695","0.8357986485523121","0.8416524256262912"
"51","102","102","102","0.8397771307761701","0.8373800671508037","0.8422484686832397"
"52","104","104","104","0.8406762452788575","0.8371094995189102","0.8451661456774263"
"53","106","106","106","0.8400229710810916","0.8329326351676425","0.8442622975734884"
"54","108","108","108","0.8415433771647158","0.838890915600193","0.843348335219749"
"55","110","110","110","0.8422238956863097","0.8374595070349313","0.8460823589916999"
"56","112","112","112","0.8434254535338779","0.8393267950860233","0.8483627227192495"
"57","114","114","114","0.8428037134028621","0.8394789812198034","0.8474424235080985"
"58","116","116","116","0.843038327881386","0.8376425325524242","0.8477791437800524"
"59","118","118","118","0.843266330661892","0.841092931289752","0.8471687051247798"
"60","120","120","120","0.8447407793861965","0.8406135063293277","0.8485345385492647"
"61","122","122","122","0.8445543737830846","0.8404809011125245","0.8473545833630053"
"62","124","124","124","0.8448912266365612","0.8403272499672443","0.8511436682979056"
"63","126","126","126","0.8451874230120742","0.8417755409394116","0.85336984779783"
"64","128","128","128","0.8465560460505335","0.8424628682867029","0.8511012436982491"
"65","130","130","130","0.8454741274550951","0.8408196895058873","0.8488179494608497"
"66","132","132","132","0.8464030725857983","0.8426139590431566","0.8515407611316651"
"67","134","134","134","0.8473173763190791","0.8420205409011742","0.8515933959362904"
"68","136","136","136","0.8472090007639373","0.8432196505146327","0.8520144305058555"
"69","138","138","138","0.8473732250204117","0.8407215307593244","0.8497600748404578"
"70","140","140","140","0.8482190706531215","0.839974815508901","0.8538617958561374"
"71","142","142","142","0.8482295334523438","0.8417036534137153","0.8520921219921251"
"72","144","144","144","0.8481234641993038","0.8444442461669925","0.8537578047866928"
"73","146","146","146","0.8481000598634744","0.840863849535287","0.8524622010587615"
"74","148","148","148","0.8485458313251197","0.8447612758341823","0.8509210500470489"
"75","150","150","150","0.8497218348114368","0.8449093367458338","0.8546129305659691"
"76","152","152","152","0.849634980314565","0.8442697469167146","0.8544727765809693"
"77","154","154","154","0.8502596385666596","0.845732031014918","0.8552033136487277"
"78","156","156","156","0.8507647509774511","0.8468211695272991","0.8536021018728059"
"79","158","158","158","0.8504569779178954","0.845346474958708","0.8526827679514319"
"80","160","160","160","0.8504492890420655","0.8437683156875836","0.8559168340892919"
"81","162","162","162","0.8515874720476315","0.8461831718258365","0.8561769428411412"
"82","164","164","164","0.8521208440632219","0.8475102952725754","0.8564788891023348"
"83","166","166","166","0.8519181636690311","0.8450657931874656","0.8553146101449821"
"84","168","168","168","0.8524378622869666","0.8497551672635977","0.8539084249503207"
"85","170","170","170","0.8535614106317488","0.848425142348863","0.8557534132337579"
"86","172","172","172","0.8527664681718903","0.8494343601976873","0.8572334871318513"
"87","174","174","174","0.8525479871315493","0.8493328444172971","0.8591413394604969"
"88","176","176","176","0.8525088237611342","0.8466038527297504","0.8565842779899703"
"89","178","178","178","0.853066833981592","0.8480065272954319","0.8561476116541905"
"90","180","180","180","0.8537494386422564","0.8483923927263772","0.8567111606045053"
"91","182","182","182","0.8540915062573534","0.8497121761326061","0.8561214590440073"
"92","184","184","184","0.8535281594574796","0.8493238592188624","0.8564519308186958"
