"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - ci_val","Name: hopfield_full - ci_val__MIN","Name: hopfield_full - ci_val__MAX"
"0","0","0","0","0.7032276885632257","0.7002171391452423","0.7079185011516659"
"1","2","2","2","0.728288875764932","0.7242650491159333","0.7355264111663746"
"2","4","4","4","0.7432965596412859","0.7366228172414592","0.7479849348625671"
"3","6","6","6","0.7541668369169738","0.7492647903515471","0.7603486897583855"
"4","8","8","8","0.7559687134978649","0.7536522048916833","0.7583768870664177"
"5","10","10","10","0.7635737733835993","0.7557146625590722","0.7745458935840569"
"6","12","12","12","0.7673942618719833","0.7583634640269956","0.7735769407951764"
"7","14","14","14","0.7737816120748554","0.767083648573632","0.7775055632576975"
"8","16","16","16","0.7746962273101748","0.7703053671852548","0.7790199498450046"
"9","18","18","18","0.781875543588795","0.778493789535407","0.7862190311954547"
"10","20","20","20","0.7833127785617817","0.780657402207899","0.7850218276276008"
"11","22","22","22","0.7870527688456127","0.7820297774135457","0.7907767238873699"
"12","24","24","24","0.7894609024947754","0.7875971735613265","0.7912535086090878"
"13","26","26","26","0.7904335889350885","0.7876769302127511","0.7930288856768664"
"14","28","28","28","0.7935547165660679","0.7926294321806472","0.7949553991964"
"15","30","30","30","0.7934835370601736","0.7914238514527123","0.7963180716272498"
"16","32","32","32","0.7976777530270229","0.7954882686423065","0.8026746388695143"
"17","34","34","34","0.8007139367526633","0.7993988776721903","0.8040638224758799"
"18","36","36","36","0.800651006250272","0.7979068054923569","0.8029549129334966"
"19","38","38","38","0.8040886606725474","0.7983298312337298","0.808338442497141"
"20","40","40","40","0.8057154893556439","0.8009143908323524","0.8083637700586865"
"21","42","42","42","0.8082179951338782","0.8058485471027369","0.8107064012541988"
"22","44","44","44","0.8109233377329123","0.8074860600319025","0.8130418198586755"
"23","46","46","46","0.8103753668326924","0.8077867174330932","0.8130117909269862"
"24","48","48","48","0.8135995891526491","0.8114881899640922","0.8162617925132853"
