"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"80","160","160","160","0.1524465016991828","0.14858293968843098","0.156825681264715"
"81","162","162","162","0.15155210605957622","0.1501297355939139","0.1523968920265256"
"82","164","164","164","0.15396841252054022","0.15129843845403246","0.15553417142107867"
"83","166","166","166","0.15170437915209437","0.14938568610126454","0.15408725333926881"
"84","168","168","168","0.15142664789583443","0.14763153403942028","0.15524303965933145"
"85","170","170","170","0.1502202083706074","0.14691280364120168","0.1537256194471692"
"86","172","172","172","0.15124294063414861","0.14966780506492677","0.15364016276901804"
"87","174","174","174","0.14998469475688736","0.14701166647676475","0.1536745078534257"
"88","176","176","176","0.1501583564975067","0.14634761878985394","0.15281051777754348"
"89","178","178","178","0.14910038878551207","0.14626333773851824","0.15172191153843181"
"90","180","180","180","0.1494635465740226","0.14699461614999734","0.15177158972418994"
"91","182","182","182","0.15018571179423762","0.1475340605014471","0.15433487244328334"
"92","184","184","184","0.1511386241667084","0.14748898585310252","0.1534499421114623"
"93","186","186","186","0.1493751132516464","0.14659049773985805","0.1514308632307511"
"94","188","188","188","0.1503783483123134","0.14726981476535123","0.15503394403691884"
"95","190","190","190","0.14767401826122933","0.14516356673197095","0.1492400426406239"
"96","192","192","192","0.14854934190447802","0.14610553667133003","0.15268542460663218"
"97","194","194","194","0.14934110718219634","0.14790989828514123","0.15085339667760841"
"98","196","196","196","0.14944461582741808","0.14697830191253575","0.15189978848106117"
"99","198","198","198","0.15008109604399378","0.14913097298266223","0.1508628994765377"
"100","200","200","200","0.14781483016373193","0.1460914004376832","0.15238239444263504"
"101","202","202","202","0.15086042857331824","0.148133027383615","0.15340034056209903"
"102","204","204","204","0.14837727246719254","0.1467190660009757","0.14968170457585636"
"103","206","206","206","0.14957934922960048","0.14695904653654523","0.15274837391246604"
"104","208","208","208","0.14906848814358625","0.1442645339170462","0.15197051239410617"
"105","210","210","210","0.14822776468359944","0.14634162443258383","0.14931176323679216"
"106","212","212","212","0.14815858648953484","0.14682329062847133","0.1491150595504787"
"107","214","214","214","0.14941540822521335","0.1468653754925739","0.15086453086631543"
"108","216","216","216","0.1490255364472595","0.14607111760893685","0.15350203914148147"
