"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"0","0","0","0","0.7070836339428638","0.7036621200396479","0.7125862004830394"
"1","2","2","2","0.7324299282035212","0.724683696415974","0.7416402795326416"
"2","4","4","4","0.7450486006809335","0.7370457865749569","0.750919449387932"
"3","6","6","6","0.7553111548047778","0.7514612170968222","0.761609569744163"
"4","8","8","8","0.7561514910189546","0.7511312074803665","0.7619046455960807"
"5","10","10","10","0.767238466030182","0.7622044648234978","0.7759721910058858"
"6","12","12","12","0.7688932106095543","0.7622746376612033","0.7727812295790758"
"7","14","14","14","0.7736364219474204","0.7679617978492225","0.7778631662355012"
"8","16","16","16","0.7760884332716371","0.7726426192232073","0.7783329137512726"
"9","18","18","18","0.7826548087977738","0.7789511359682673","0.7864130213769918"
"10","20","20","20","0.7854440472924513","0.781575904675398","0.7884249629980522"
"11","22","22","22","0.7877005625223343","0.7845296889432765","0.789918675009815"
"12","24","24","24","0.7898748073324451","0.7866412963998504","0.7924797589314923"
"13","26","26","26","0.7905726284387385","0.7869532958699391","0.793460751698368"
"14","28","28","28","0.7921472879561438","0.7885166734983505","0.7971816416417149"
"15","30","30","30","0.7929137963069863","0.7886317208668078","0.7971209111311324"
"16","32","32","32","0.797582112363328","0.7941521812070947","0.8021028152193613"
"17","34","34","34","0.7986194683917562","0.7933315830710841","0.8030470701640786"
"18","36","36","36","0.7996582977518714","0.7963617607166558","0.8028639332706549"
"19","38","38","38","0.8025854702026031","0.7990570788706834","0.8062214091316784"
"20","40","40","40","0.8026486388845798","0.8000009515823023","0.8057873858880495"
"21","42","42","42","0.8060797226006862","0.8044650506293888","0.807318772423203"
"22","44","44","44","0.8062912781094858","0.8006912792552543","0.8090900166189997"
"23","46","46","46","0.8070530936038127","0.8017360069780055","0.8095599523142245"
"24","48","48","48","0.8067847737308785","0.8039146728130744","0.8109556283261857"
"25","50","50","50","0.8103109623097577","0.807820651751438","0.8147712070861841"
"26","52","52","52","0.8100696247320597","0.806378482835564","0.8138520137871693"
"27","54","54","54","0.8116114953370074","0.8065124520025567","0.8146053084705371"
"28","56","56","56","0.8149912450526836","0.8114724103526354","0.8187385675156177"
"29","58","58","58","0.8163269791763789","0.8132861879728686","0.8198417696956204"
"30","60","60","60","0.8156553472354453","0.812112723754729","0.8198145166443379"
"31","62","62","62","0.8173516518914102","0.8150359925931396","0.8191159250776081"
"32","64","64","64","0.8184209149351016","0.8153123291126803","0.8243191601991625"
"33","66","66","66","0.8210800704380103","0.8182786361784757","0.8230350086432662"
"34","68","68","68","0.8228204503261658","0.8171197660415785","0.8305044557637952"
"35","70","70","70","0.8240659068642613","0.8225875358805884","0.8266596447573624"
"36","72","72","72","0.8264781757840653","0.8233940345308421","0.830608162623837"
"37","74","74","74","0.826756825819818","0.8211359200347577","0.8314083859491701"
"38","76","76","76","0.826249120000714","0.8225033121746586","0.8303969580437957"
"39","78","78","78","0.827611239025195","0.8249778432319418","0.8326767304883758"
"40","80","80","80","0.8282630380349756","0.8267806507566743","0.8322541711865167"
"41","82","82","82","0.8283017309470445","0.826782446509059","0.8301240584383341"
"42","84","84","84","0.8298673628164017","0.82698983877918","0.8327936257561539"
