"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"69","138","138","138","0.15496402145519744","0.15286601727122354","0.15787816568089685"
"70","140","140","140","0.15359629537885616","0.15120593058782825","0.15544139693280087"
"71","142","142","142","0.15319780547747266","0.15103046799800315","0.15537780734393464"
"72","144","144","144","0.1528267991779217","0.15080708259246764","0.15429605476493471"
"73","146","146","146","0.1521905305583714","0.15145174597581992","0.153437723489137"
"74","148","148","148","0.15274457664901347","0.15234619679044","0.15314930345422192"
"75","150","150","150","0.15274831056286792","0.14985884550507456","0.1567158065914175"
"76","152","152","152","0.1536953613973103","0.15293150122023347","0.15436760393384116"
"77","154","154","154","0.15120996018054234","0.14823371682527142","0.15742311434711326"
"78","156","156","156","0.15147177921488844","0.1498087836577968","0.1532892796811325"
"79","158","158","158","0.15162757259678564","0.1494656979613824","0.15277099247384146"
"80","160","160","160","0.15121395397619533","0.1479238112921974","0.15422055145465496"
"81","162","162","162","0.1510902597667075","0.14809774351763066","0.15298451704461244"
"82","164","164","164","0.1510578789658386","0.1484030547208865","0.15551134572970754"
"83","166","166","166","0.15058546593429917","0.14741159041696805","0.15408810998249955"
"84","168","168","168","0.1505349130749725","0.14910416245040894","0.15151286047891557"
"85","170","170","170","0.15111879094106817","0.14609528317707784","0.15452487460795622"
"86","172","172","172","0.15049590725257506","0.14924581741182097","0.1525038882147665"
"87","174","174","174","0.14904076994018903","0.1462875978665545","0.1504571120084863"
"88","176","176","176","0.14937287616349548","0.1466384755755721","0.1505590085438957"
"89","178","178","178","0.14910889438149183","0.14559190154548815","0.15087614839840666"
"90","180","180","180","0.14809174849105108","0.14671639904003766","0.14958191364524856"
"91","182","182","182","0.14927704540956138","0.1466232643686275","0.1520652847645207"
"92","184","184","184","0.15032935338913442","0.14908415831127006","0.1516892673885603"
"93","186","186","186","0.15006347421548888","0.1491071485294696","0.15221932458280424"
"94","188","188","188","0.1500568263189232","0.14733400614378128","0.15202804279950546"
"95","190","190","190","0.14842560344503347","0.14553229533889514","0.1525060325663047"
"96","192","192","192","0.14855955718080277","0.1453406982333754","0.15070437243069654"
"97","194","194","194","0.14929200037438956","0.14646361131508784","0.1505153680708729"
"98","196","196","196","0.1493738217453499","0.14562872146958164","0.15131509104963542"
"99","198","198","198","0.14966310448942144","0.14717227898845037","0.15230245304665266"
"100","200","200","200","0.14897695313015985","0.14708219624145435","0.15004418881540205"
"101","202","202","202","0.1493806475700658","0.14722585526759716","0.15211736386263106"
"102","204","204","204","0.14826927026640516","0.146664458232045","0.15223097308169956"
"103","206","206","206","0.14746286253731752","0.1466759866938916","0.1483806971064778"
"104","208","208","208","0.14829525693663628","0.1466320628209061","0.14975773205263695"
"105","210","210","210","0.14712406218499777","0.14543372227806511","0.14846238628426142"
"106","212","212","212","0.14819628082233488","0.1461038881779509","0.14973472430683665"
"107","214","214","214","0.14995092993026718","0.149014144495264","0.15137396190260205"
"108","216","216","216","0.14940636995011575","0.14671400094508388","0.15384573286127842"
"109","218","218","218","0.1479319734648366","0.1441206491327671","0.15251221229647088"
"110","220","220","220","0.14921147084045167","0.1468993298882864","0.15247724811986788"
"111","222","222","222","0.1486477246547913","0.14626133344562497","0.15058271171513324"
"112","224","224","224","0.14762933184664834","0.14574549128741465","0.15100740624708286"
"113","226","226","226","0.14755514161110644","0.1454381225123849","0.14948804938853963"
"114","228","228","228","0.14727699589009421","0.1456749376377669","0.14936524938987739"
"115","230","230","230","0.14729056307967772","0.14559149327694262","0.14895203870493312"
"116","232","232","232","0.14901106919222357","0.14569674240551506","0.1544912141802225"
"117","234","234","234","0.14772930318464308","0.1462803780668567","0.151446356321035"
"118","236","236","236","0.14791984165533428","0.14627623176625065","0.15069180793529732"
"119","238","238","238","0.14779851157340831","0.14549437125610437","0.1495555744646379"
"120","240","240","240","0.14785386544615878","0.14608176446881116","0.14880314115343124"
"121","242","242","242","0.14610288815690525","0.14440349266901006","0.15058300864600202"
"122","244","244","244","0.1480117851562836","0.14583882958099267","0.15017817335575087"
"123","246","246","246","0.14676742665240902","0.14558208459359193","0.1476370032260965"
"124","248","248","248","0.1490143178934621","0.14754266165473154","0.15004013267114358"
"125","250","250","250","0.14582583797300475","0.14375551506029205","0.14801544382191914"
"126","252","252","252","0.14797956718630095","0.14507385713204562","0.15215593355343604"
"127","254","254","254","0.14667618349563688","0.1449079671893273","0.14990986767411682"
"128","256","256","256","0.1464053216921415","0.14406183034108805","0.15034601945788578"
"129","258","258","258","0.1465676677499111","0.142658541192252","0.14890958156983403"
"130","260","260","260","0.14682717608455223","0.1449963371011144","0.14935510113094708"
"131","262","262","262","0.14819917304006794","0.1444075116505678","0.15129812271017576"
"132","264","264","264","0.1470763183469582","0.14598497230761198","0.1494409135039151"
"133","266","266","266","0.14797600636606373","0.1461859718954885","0.1525365870339032"
"134","268","268","268","0.14724698299435882","0.1457558774309631","0.15155546098517567"
"135","270","270","270","0.14577603134208897","0.14398058886644408","0.1474400079563241"
"136","272","272","272","0.14643652132919363","0.14507129212135206","0.14772111463241516"
"137","274","274","274","0.14655262971607616","0.14394091634884276","0.14909885231365583"
"138","276","276","276","0.14537262666419612","0.14451435355889133","0.1466268083879824"
"139","278","278","278","0.14622623580933486","0.14316239392559765","0.1480179578637147"
"140","280","280","280","0.147062402551708","0.14515797986666656","0.14942834611648828"
"141","282","282","282","0.14583109397948796","0.1441200512361864","0.1495758768025063"
"142","284","284","284","0.14616141816798506","0.14193551328900633","0.1513067874415499"
"143","286","286","286","0.1466991129061244","0.1435264672317794","0.14912611155183328"
"144","288","288","288","0.14740680707467244","0.145734644646076","0.14932490743393503"
"145","290","290","290","0.1481760016619743","0.1445528188998788","0.15099363251278528"
"146","292","292","292","0.14548463702254394","0.14464570596372003","0.1464415896719634"
"147","294","294","294","0.14652078994205056","0.14259089234520358","0.14956898855338746"
"148","296","296","296","0.1479591210337353","0.14591263470311588","0.1519893778062448"
"149","298","298","298","0.14599792925417981","0.14345347645808915","0.14751433569486258"
"150","300","300","300","0.1469851785593212","0.1458387144825109","0.14854198818399447"
"151","302","302","302","0.1465490697646615","0.14448882130856472","0.1479278500214975"
"152","304","304","304","0.14654526901710033","0.14399964443108224","0.14921021786854657"
"153","306","306","306","0.14777632482780453","0.14463125926351006","0.15669070159703027"
"154","308","308","308","0.14659319065813847","0.14275454840602783","0.14987545388646323"
"155","310","310","310","0.1459511733675894","0.14384149229283588","0.1475959836021435"
"156","312","312","312","0.1464430099460115","0.14251011531388108","0.14959507614502127"
"157","314","314","314","0.14650683380847004","0.1443070216803528","0.15109504635082874"
"158","316","316","316","0.14590792079159073","0.14407192890026896","0.14757007070003844"
"159","318","318","318","0.14727005724075695","0.14632914429956212","0.1481079102231736"
"160","320","320","320","0.14672758833614166","0.14257062227467826","0.15022235016308336"
"161","322","322","322","0.14679019188529935","0.14393498933746157","0.14913493767275482"
"162","324","324","324","0.14713055279702988","0.1448329212185959","0.14947333103254293"
"163","326","326","326","0.14597007800631892","0.14515079951430346","0.14647542800792165"
"164","328","328","328","0.14601593866381662","0.14437952102780044","0.14818882839900085"
"165","330","330","330","0.14565029811130145","0.1421538758659947","0.14914731737041237"
"166","332","332","332","0.14699510869461543","0.14310804875719937","0.15051843469874265"
"167","334","334","334","0.14618224856310275","0.14450363413246234","0.14766677702206715"
"168","336","336","336","0.14613695081283296","0.14346770969750053","0.14988449707639476"
"169","338","338","338","0.14674014066430235","0.14412582620220699","0.1489318609641567"
"170","340","340","340","0.14809060573698601","0.14450360260500336","0.14951534260707225"
"171","342","342","342","0.1469290808161227","0.1439020566695764","0.14881866020536222"
"172","344","344","344","0.14645050957477876","0.14447896803938884","0.14901208176412858"
"173","346","346","346","0.14598095430272431","0.1448936812326894","0.1475085040464556"
"174","348","348","348","0.14315802295136137","0.1413155782651912","0.14495714348661712"
"175","350","350","350","0.1464523368437371","0.14346858854211325","0.14859834250566326"
"176","352","352","352","0.14611446265494768","0.14423743926350746","0.14804827015492233"
"177","354","354","354","0.1467295665684953","0.14588873290527324","0.1477088491572403"
"178","356","356","356","0.14660914746255158","0.14459019191308792","0.15006715555864344"
"179","358","358","358","0.1475653392210961","0.14379664894614017","0.15320937424164638"
"180","360","360","360","0.14530994602132824","0.14449993222384924","0.1468713662967886"
"181","362","362","362","0.14745407126728172","0.1453114375950525","0.1498192964546519"
"182","364","364","364","0.14595749645551045","0.14432887252836227","0.1489248052263237"
"183","366","366","366","0.14609123274771552","0.14337659524671237","0.1490849112871878"
"184","368","368","368","0.14584794180724467","0.14346154997590743","0.14754919426969837"
"185","370","370","370","0.1464441171183167","0.14487247274630172","0.14932495512085567"
"186","372","372","372","0.14557367867896606","0.1418157097349878","0.14853017428983142"
"187","374","374","374","0.14574299919143213","0.14119455928094723","0.14796658915248742"
"188","376","376","376","0.14563062805219557","0.1407471070068586","0.14872007517740027"
"189","378","378","378","0.14667593638762938","0.1449141611783441","0.14919983886722224"
"190","380","380","380","0.14720172972678375","0.14532364591568495","0.15070206949851186"
"191","382","382","382","0.14615390087108082","0.14314719783577273","0.1486437927678876"
"192","384","384","384","0.1471257802280928","0.14456019426849176","0.15123716839899043"
"193","386","386","386","0.14756417890671056","0.1440719538947834","0.15002216123134837"
"194","388","388","388","0.14779368987837704","0.14621821233007418","0.14941874185890291"
"195","390","390","390","0.1460322396019024","0.14369487952793536","0.14920522867409886"
"196","392","392","392","0.14701945060648516","0.14264675234670762","0.15211583229543776"
"197","394","394","394","0.14662477820707637","0.14535435434222221","0.14815264431099676"
"198","396","396","396","0.14547985531052468","0.14306640121025824","0.14859320117619795"
"199","398","398","398","0.14581977778128283","0.1440447000075421","0.14855265672192594"
"200","400","400","400","0.14581102141369226","0.14414248276995167","0.14767736378728422"
"201","402","402","402","0.14545038128569326","0.14481958318190072","0.14654712662619523"
"202","404","404","404","0.14504471204644398","0.1429863493167294","0.14668225521178607"
"203","406","406","406","0.14612038469599664","0.14454466307941344","0.14850970005385897"
