"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"0","0","0","0","0.7029823707271671","0.6993905103039117","0.7084167130079612"
"1","2","2","2","0.7271737515539322","0.718700400710632","0.7340756415672394"
"2","4","4","4","0.7454054275040802","0.7408956625326317","0.7492333697990566"
"3","6","6","6","0.7557742930731952","0.7531603095305363","0.7595094283443102"
"4","8","8","8","0.760539419830826","0.7586063541597965","0.762311155162995"
"5","10","10","10","0.7635487756228878","0.7583770801973941","0.77206984582392"
"6","12","12","12","0.7703793053071674","0.7658908452401856","0.7742629303618863"
"7","14","14","14","0.7750695752529617","0.7677627757071074","0.7785433151704091"
"8","16","16","16","0.7774105202013016","0.7737027802315225","0.7815425738118602"
"9","18","18","18","0.7810405696905115","0.7788708672891932","0.7851408406690966"
"10","20","20","20","0.7833834817370426","0.7814593621573421","0.7854551268009807"
"11","22","22","22","0.7883256023573177","0.7824504141990617","0.7922894699834557"
"12","24","24","24","0.7899085210085719","0.7876953842569175","0.7924219262006149"
"13","26","26","26","0.7936052786369667","0.7905233593312814","0.7973745643430714"
"14","28","28","28","0.7957865196401274","0.7924489663717215","0.7994976968807435"
"15","30","30","30","0.7982235128690343","0.7960483591695063","0.8028734319149198"
"16","32","32","32","0.8015963639950868","0.8006453336874295","0.8035700428749755"
"17","34","34","34","0.803923580866463","0.7998932144453978","0.806677794106096"
"18","36","36","36","0.8047697492296868","0.8007590005791149","0.8072860425097473"
"19","38","38","38","0.8079537926851541","0.8014059790679026","0.812095482291807"
"20","40","40","40","0.8097465218099525","0.8072333561788336","0.812439669036753"
"21","42","42","42","0.810216160373578","0.8068260879497623","0.8149589683439407"
"22","44","44","44","0.8126128434580238","0.8088280770913134","0.8148893009296978"
"23","46","46","46","0.8147021708783916","0.8135592437645056","0.8162143821896243"
"24","48","48","48","0.8151699674245932","0.81273972242939","0.8191112500087183"
"25","50","50","50","0.8182976598881302","0.8161694806612296","0.8215565533432423"
"26","52","52","52","0.8193053254612532","0.8178869096084807","0.8208504156761978"
"27","54","54","54","0.8202122651423507","0.8188421520628301","0.8213280244188649"
"28","56","56","56","0.8228482848325485","0.820290977634192","0.8253227738361313"
"29","58","58","58","0.8241703195295937","0.8204109802233855","0.8275288637001035"
"30","60","60","60","0.823683315501702","0.8206115325100101","0.8309312550230717"
"31","62","62","62","0.8257987176192436","0.8230497772692495","0.8297593178038865"
"32","64","64","64","0.8250037864095592","0.8238270883251867","0.8271303756654736"
"33","66","66","66","0.8266700505213553","0.8252536620330835","0.8281275609620969"
"34","68","68","68","0.8284004809049028","0.8257202677487325","0.8322238038467272"
"35","70","70","70","0.8326155850709712","0.8289211764605995","0.8364004057168425"
"36","72","72","72","0.834513825274955","0.8283305318003199","0.8386135156658182"
"37","74","74","74","0.834773625760428","0.8303208135365454","0.8386247611015359"
"38","76","76","76","0.8366285423087666","0.8301351371937873","0.8406596455616431"
"39","78","78","78","0.8378693282083101","0.8307455515291372","0.8427528125885475"
"40","80","80","80","0.8380147019980887","0.8303698667002615","0.8414410502643355"
"41","82","82","82","0.8405497056606894","0.8367313394503391","0.8426584637389808"
"42","84","84","84","0.8428799978730129","0.8401223483117637","0.8438402726456726"
"43","86","86","86","0.8418560890825054","0.8389094154699688","0.8440888804856939"
"44","88","88","88","0.8440638117389417","0.842490277239397","0.846207571314322"
"45","90","90","90","0.8445797365470034","0.8414703597456303","0.8469354470116698"
"46","92","92","92","0.8451229875764215","0.84237885587595","0.8472578800003122"
"47","94","94","94","0.8454732908635826","0.8419078255102321","0.8474538297627605"
"48","96","96","96","0.8470965590867406","0.8450001391032698","0.8487501529836631"
"49","98","98","98","0.8476035747725611","0.8447605054027468","0.8489262811994636"
"50","100","100","100","0.8481510479708444","0.845887236160114","0.8500312282309322"
"51","102","102","102","0.8485182729692357","0.8460939098509632","0.8495530763863887"
"52","104","104","104","0.8486815303934465","0.8465159529213321","0.8506096501591262"
"53","106","106","106","0.8491052421334382","0.8473373805043835","0.8511274018124395"
"54","108","108","108","0.850230140933102","0.8489649999347536","0.8515046833019265"
"55","110","110","110","0.8508030895316011","0.8497356865624568","0.8520615361470779"
"56","112","112","112","0.8496988265180143","0.8487864256808182","0.8504396748290005"
