"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - loss_to_report_val","wurdinger_fnn_testset.yaml - loss_to_report_val__MIN","wurdinger_fnn_testset.yaml - loss_to_report_val__MAX"
"70","140","140","140","0.15201650083955326","0.1497789419755138","0.154798211574921"
"71","142","142","142","0.1521302477812289","0.1494259293875897","0.15395139893249363"
"72","144","144","144","0.15186448716298312","0.14921824476864518","0.15512505209229965"
"73","146","146","146","0.15124672125934774","0.14926517701262465","0.15295539109225623"
"74","148","148","148","0.15038454531665735","0.14763381766410463","0.15359950259771557"
"75","150","150","150","0.1511385569228534","0.15039391540626038","0.15195692029001287"
"76","152","152","152","0.1503245542977889","0.14770456385018396","0.15271444928640462"
"77","154","154","154","0.14887261053081183","0.14605967852864815","0.1511869631397116"
"78","156","156","156","0.14906636211603796","0.14710881630744127","0.1499976538638659"
"79","158","158","158","0.14839331309468604","0.14615391375240508","0.15000213115174416"
"80","160","160","160","0.14892809066495688","0.1471396013722883","0.15331239058880838"
"81","162","162","162","0.14874776047473595","0.14613343240820958","0.1517952543075499"
"82","164","164","164","0.14833183140034906","0.14715550978171965","0.1498422197609858"
"83","166","166","166","0.1477046581009008","0.1458061757801992","0.14951979170447624"
"84","168","168","168","0.14646134311768474","0.1440405130901126","0.1493463873834582"
"85","170","170","170","0.14649917380984484","0.14505525472081687","0.14799759697229087"
"86","172","172","172","0.14649852732883478","0.14524515701429355","0.14756237664144015"
"87","174","174","174","0.146104180545017","0.14313857894511484","0.14823069768483757"
"88","176","176","176","0.1465611275387322","0.14446391299728953","0.14955930846847013"
"89","178","178","178","0.14619689227722402","0.14413033654157173","0.14821687534252773"
"90","180","180","180","0.14577653635120633","0.1424191415042873","0.1491161990485605"
"91","182","182","182","0.14554058352411245","0.14376058893318522","0.14740000810343754"
"92","184","184","184","0.14573324899848236","0.14305640315750326","0.149511739428181"
"93","186","186","186","0.14557403133488556","0.14316171735392938","0.1475759433862847"
"94","188","188","188","0.14499853934929974","0.14269682369183648","0.14731204377502086"
"95","190","190","190","0.1449612864565752","0.14112113664223774","0.1479216622615794"
"96","192","192","192","0.1438980179211305","0.141861200349547","0.1457274845693126"
"97","194","194","194","0.14539852838510123","0.1430197550635469","0.14826598274378183"
"98","196","196","196","0.1437011730507721","0.1419850320078288","0.1466843051614386"
"99","198","198","198","0.14338404060740337","0.14111995797916682","0.1447864335676732"
"100","200","200","200","0.1440494906974394","0.14196131074699872","0.14712658993282274"
"101","202","202","202","0.14389349897342812","0.14166045113312906","0.1458305775134165"
"102","204","204","204","0.14274059596798144","0.13972080909804055","0.14486043821869388"
"103","206","206","206","0.14223323919731307","0.1408163968589001","0.14404718622809734"
"104","208","208","208","0.14233843959722609","0.13979097312784325","0.14486589368930602"
"105","210","210","210","0.14341952650985362","0.14087819216095854","0.14675932881589346"
"106","212","212","212","0.1425556932272281","0.13975173312332823","0.1461530958913069"
"107","214","214","214","0.14134311100213437","0.1383657658103668","0.1449130263941182"
"108","216","216","216","0.1425285149810938","0.14082593242479838","0.14528850358710285"
"109","218","218","218","0.1419753365926601","0.13935154165346156","0.1456476491986013"
"110","220","220","220","0.14156644718346634","0.1396454040603625","0.1453590498517437"
"111","222","222","222","0.14076901535616365","0.1389064002624979","0.14365335712200902"
"112","224","224","224","0.14081869853872298","0.13865157032179476","0.14343869620483496"
"113","226","226","226","0.14048471220069708","0.137924649397904","0.14313460519214138"
"114","228","228","228","0.14060771548212178","0.13708920598597535","0.14349611982014499"
"115","230","230","230","0.1406274624458605","0.13814861908384599","0.14207939917588538"
"116","232","232","232","0.14043714871009053","0.13767819840523865","0.14287237097019023"
"117","234","234","234","0.1402354816879621","0.137362769841122","0.14341888734838631"
"118","236","236","236","0.14023522491665963","0.13804589625629185","0.14258422245888772"
"119","238","238","238","0.1391244326449403","0.13731835939874143","0.14071410401207837"
"120","240","240","240","0.13957733973078024","0.13848769467232339","0.14237577433423504"
"121","242","242","242","0.13910342374116816","0.13706945168955678","0.14168607534722272"
"122","244","244","244","0.13965349454820147","0.13788323423838805","0.14218537058442843"
"123","246","246","246","0.13947594920366316","0.13756732988586778","0.1428260575778343"
"124","248","248","248","0.1394087154882336","0.1360907237384262","0.144613943241308"
"125","250","250","250","0.13927836180955327","0.13692924778282156","0.14388770249260496"
"126","252","252","252","0.13891634422200821","0.13503308015028098","0.14089065896175212"
"127","254","254","254","0.1379321035942401","0.13622576832653183","0.14135038875518843"
"128","256","256","256","0.13843025485897187","0.13548111888739214","0.142374765997598"
"129","258","258","258","0.13774642417140326","0.136658594124458","0.13933899087186585"
"130","260","260","260","0.13803516131908683","0.1364935556792077","0.1420170337002885"
"131","262","262","262","0.1380920899060176","0.13621180991925513","0.14040463917876464"
"132","264","264","264","0.13785106242275885","0.13518758301330744","0.1422243704853831"
"133","266","266","266","0.13779372894625883","0.1358421412915993","0.13957442532994918"
"134","268","268","268","0.13746303968876952","0.13603219202153513","0.13887920158023784"
"135","270","270","270","0.13700520257658347","0.13552595496787012","0.1388380482720171"
"136","272","272","272","0.13817141460567073","0.1356053106924488","0.14000069135201665"
