"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"39","78","78","78","0.8310119787106253","0.8274293703628741","0.8366451879251725"
"40","80","80","80","0.8323412894901852","0.8280585982229536","0.8378186062210455"
"41","82","82","82","0.8348117460472348","0.8315410069875848","0.8406320478767421"
"42","84","84","84","0.8342485363117476","0.8304911350413597","0.8412462309873542"
"43","86","86","86","0.8364381159205834","0.8334433225392216","0.8428105744571566"
"44","88","88","88","0.8383587908172359","0.8365193247889944","0.8399109241429167"
"45","90","90","90","0.8407120635373424","0.8391772591988697","0.8417829587964403"
"46","92","92","92","0.8393664055679212","0.8353071677961481","0.8417046231519753"
"47","94","94","94","0.8424055449500305","0.8399178684940114","0.8471524784959649"
"48","96","96","96","0.8429991722319714","0.8396672473799813","0.8455786669397171"
"49","98","98","98","0.8441791621532465","0.8410892712442303","0.8468446600178808"
"50","100","100","100","0.8450343474647386","0.8392722908829741","0.8478372635385044"
"51","102","102","102","0.8440998989145623","0.8414817114905447","0.8453821641847674"
"52","104","104","104","0.8453072186878824","0.8398453467298787","0.8492175410893518"
"53","106","106","106","0.8460439887496285","0.8418150776507702","0.8484109221524436"
"54","108","108","108","0.8464542711267914","0.8436355153146974","0.8490415791661566"
"55","110","110","110","0.8485043239362025","0.84658659955283","0.8503934611933713"
"56","112","112","112","0.8481088263255188","0.84452727741703","0.8513986998568047"
"57","114","114","114","0.8507580452245221","0.8484610076176802","0.8520609370659351"
"58","116","116","116","0.8498199005395071","0.8468881409707187","0.8519280980840402"
"59","118","118","118","0.8518149884940287","0.8466244287567388","0.8552927722023759"
"60","120","120","120","0.8509550894861073","0.8463736583022273","0.8550231282304197"
"61","122","122","122","0.8533835419575253","0.8514146022717506","0.8553096398191656"
"62","124","124","124","0.8538850029943301","0.85086022387672","0.8559526262202644"
"63","126","126","126","0.8539675681976195","0.8501015325317418","0.8572280899037218"
"64","128","128","128","0.855030930836711","0.8494798130665058","0.8577309113627973"
"65","130","130","130","0.8538621920882539","0.8518766928698168","0.8561187841323429"
"66","132","132","132","0.8545728432181553","0.850465530984009","0.8580057332074548"
"67","134","134","134","0.857421306157887","0.855592197596656","0.859957512296286"
"68","136","136","136","0.856934019925129","0.8561467556708444","0.8578220536982573"
"69","138","138","138","0.8564343258638429","0.8544358394810277","0.8573776783905579"
"70","140","140","140","0.8570198701368972","0.8558021303779414","0.8581813160505332"
"71","142","142","142","0.8569512642879961","0.8553215397100827","0.859358022701145"
"72","144","144","144","0.857371123852276","0.8554566507642212","0.8591028059022384"
"73","146","146","146","0.8577220929630643","0.8571044971466385","0.8583854611036082"
"74","148","148","148","0.857118759805245","0.8534950160582192","0.8598373781303079"
"75","150","150","150","0.8590817508504986","0.8567368655263605","0.8610854296314574"
"76","152","152","152","0.8583103470998583","0.8554631605656747","0.8599969532675356"
"77","154","154","154","0.859831133706274","0.8574528696421777","0.8610378167543494"
"78","156","156","156","0.8601382783833647","0.8590083382465957","0.8617487220895697"
"79","158","158","158","0.8596317515705554","0.8574070359099869","0.8613846895924672"
"80","160","160","160","0.8593969478080894","0.8579073222594525","0.8605930063711044"
"81","162","162","162","0.8604469988089457","0.8576086202141656","0.8615977525186845"
"82","164","164","164","0.8611323502584254","0.859827543865759","0.8620077489600705"
"83","166","166","166","0.8611215724702133","0.8588726430053276","0.8639575208782728"
"84","168","168","168","0.8605335927582708","0.8570780513828545","0.8619824984356903"
"85","170","170","170","0.8612729884976027","0.8599681106330154","0.8621492662428092"
"86","172","172","172","0.8618297853129773","0.8602221846006067","0.8632602522563378"
"87","174","174","174","0.8622821197259134","0.8611443088340284","0.8631749647152706"
"88","176","176","176","0.8623346013895035","0.8601752357192297","0.8641610818746265"
"89","178","178","178","0.8618315430539077","0.8610183867862248","0.8623838961199526"
"90","180","180","180","0.8621389719183149","0.8605488992834325","0.8634817324973598"
"91","182","182","182","0.8621203525217995","0.86036750141037","0.8649570742318835"
"92","184","184","184","0.8623700237381012","0.8612880653247466","0.8636016821440943"
