"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"39","78","78","78","0.17931030963825867","0.17379821046425784","0.18243546384314213"
"40","80","80","80","0.17507168259493433","0.17262390200529912","0.17907693572784547"
"41","82","82","82","0.17599035335501667","0.17397120474313899","0.17814323150592243"
"42","84","84","84","0.17204368238071205","0.17046847338358928","0.1743755968065026"
"43","86","86","86","0.17312182473699728","0.17064032777246005","0.17463605005276986"
"44","88","88","88","0.1719315867274657","0.16873068609393843","0.17506640449421898"
"45","90","90","90","0.1707743653882473","0.16785629260294274","0.17279138077068998"
"46","92","92","92","0.1718426699128657","0.16697335464771226","0.17765409269527024"
"47","94","94","94","0.1713058362570496","0.16849107625148746","0.17349520619084552"
"48","96","96","96","0.1698958428315207","0.1663265366798004","0.1750959925836836"
"49","98","98","98","0.16737991971899596","0.16322481686695015","0.17064714926998306"
"50","100","100","100","0.1682277710140517","0.16460068842432607","0.17283535950369452"
"51","102","102","102","0.16499120160917358","0.16347312157880353","0.1664976316367286"
"52","104","104","104","0.16643537129155056","0.1639715437978176","0.170161846692216"
"53","106","106","106","0.16469520817923716","0.16100767376562738","0.16759255278506743"
"54","108","108","108","0.16343483005013917","0.16025395811920287","0.16602903982732228"
"55","110","110","110","0.164223034232958","0.1581423402235899","0.16686480694345873"
"56","112","112","112","0.16241895713541465","0.15878091897271432","0.16590878668837075"
"57","114","114","114","0.16114869340712365","0.1593584746805949","0.1628232130837489"
"58","116","116","116","0.1613608113211124","0.1586755271026848","0.16540389996945704"
"59","118","118","118","0.1600756100150587","0.1567333569561861","0.16193141359875254"
"60","120","120","120","0.15938876952973616","0.15792376722188556","0.16054217298722245"
"61","122","122","122","0.15991559123385066","0.15675103696287018","0.1632645400528848"
"62","124","124","124","0.15800176856960102","0.1566044463396396","0.16087745919965896"
"63","126","126","126","0.15855397534930699","0.15734469999147294","0.16137854682219896"
"64","128","128","128","0.15667909703193852","0.15300223056558981","0.15967190425182287"
"65","130","130","130","0.15697225309017598","0.15500699169511548","0.15852488769653453"
"66","132","132","132","0.15688648206217146","0.15576343104249604","0.15941381273984628"
"67","134","134","134","0.15746773423017907","0.1549207320234806","0.16050920763226"
"68","136","136","136","0.15635908113342836","0.1520122256974258","0.15847575448456055"
"69","138","138","138","0.1557653079942519","0.15283737630967448","0.15856091643744724"
"70","140","140","140","0.15516866616723216","0.1530500112592202","0.15644997473182998"
"71","142","142","142","0.15591557315405463","0.15356674239846574","0.1595192301690275"
"72","144","144","144","0.15515588287698934","0.15248714057100368","0.15674100332810584"
"73","146","146","146","0.15330748797840693","0.1518466547765984","0.15524158508022956"
"74","148","148","148","0.15559202166298225","0.15388362901325378","0.15705345374604066"
"75","150","150","150","0.15366076144687485","0.15240689865172014","0.15626257933714888"
"76","152","152","152","0.15493302040165471","0.15378890415505878","0.15666677228142567"
"77","154","154","154","0.1542741784385958","0.15220633306148781","0.1594115207261268"
"78","156","156","156","0.15389469213250515","0.15186631934239547","0.15514573642425353"
"79","158","158","158","0.15287717859658742","0.14969109658462296","0.15539568452972252"
"80","160","160","160","0.15388859544292155","0.1502047266112931","0.15734049647352863"
"81","162","162","162","0.15376127790447752","0.15159239069451913","0.15605607384631381"
"82","164","164","164","0.15452842813460363","0.15398391107251155","0.15527705506714265"
"83","166","166","166","0.1526022205331056","0.14978112756188094","0.15674413181812574"
"84","168","168","168","0.15227632981368647","0.14872535638207018","0.15588440711909785"
"85","170","170","170","0.15293604677145606","0.1498383178904845","0.1565525580682804"
"86","172","172","172","0.15216534675970803","0.1496765573307918","0.15541256039477455"
"87","174","174","174","0.15101113038775787","0.15038865387245254","0.1516367844721472"
"88","176","176","176","0.15135423260040204","0.14939997364662383","0.15231871178299788"
"89","178","178","178","0.15229691999483244","0.14959939385359097","0.15501772667905647"
"90","180","180","180","0.15177256673148368","0.1507200812339294","0.1533309032605479"
"91","182","182","182","0.15181591620124912","0.14993153711872592","0.15332379808271482"
"92","184","184","184","0.15073463637719042","0.14898587696666338","0.15191353774965058"
"93","186","186","186","0.1512704532797534","0.14880891551836273","0.15281178173970378"
"94","188","188","188","0.15054239417655757","0.14973411299038641","0.15126391873903824"
"95","190","190","190","0.15030559182025374","0.14830403593141092","0.15447219136415283"
"96","192","192","192","0.15109427462536532","0.14880250985437002","0.15418561789465382"
"97","194","194","194","0.1522814155917876","0.149094486885857","0.15685126192684104"
"98","196","196","196","0.15113721731802027","0.14989824944841332","0.1522190222522761"
"99","198","198","198","0.15165132204278264","0.14985332480649044","0.15371110964570595"
"100","200","200","200","0.14909654157777844","0.1476659853548975","0.15021986828288048"
"101","202","202","202","0.15136419881354296","0.14798958322371766","0.15463991620183298"
"102","204","204","204","0.14840850600535926","0.1455405340670636","0.1511945561231839"
"103","206","206","206","0.15014533261694202","0.14778943596776975","0.15301115416061123"
"104","208","208","208","0.14910539097407838","0.14679239809002423","0.15180775132080315"
"105","210","210","210","0.15000412906001737","0.1475750791218519","0.15188239836715367"
"106","212","212","212","0.14881238823607898","0.14733920839283352","0.15144911948761583"
"107","214","214","214","0.149371200096252","0.14624669150281688","0.1524741273723386"
"108","216","216","216","0.14993967261795638","0.14812509938796084","0.15222854217208645"
"109","218","218","218","0.14851391647146947","0.14530581480675978","0.15005958098757985"
"110","220","220","220","0.14872124447016238","0.14732919286125495","0.1498959467745276"
"111","222","222","222","0.14966725475817516","0.14752328909024973","0.15086519436587098"
"112","224","224","224","0.15060087742128747","0.14616328146552673","0.15474171353380942"
"113","226","226","226","0.14936611903924887","0.14504248873927186","0.153661191386911"
"114","228","228","228","0.14922768652699125","0.14694027160805348","0.15388864924453607"
"115","230","230","230","0.14865744212603946","0.14616075030273828","0.1518262389106146"
"116","232","232","232","0.14891695530936122","0.14625393579325824","0.15117209106291543"
"117","234","234","234","0.14918446461220558","0.14753012271744323","0.1503610247461458"
"118","236","236","236","0.14811300931204113","0.14678161001772702","0.14992852637267093"
"119","238","238","238","0.14870243225077792","0.1443620875121088","0.15121429365743522"
"120","240","240","240","0.15016681379746927","0.14775599076560736","0.15236952953393487"
"121","242","242","242","0.14873297357668608","0.14625611867587088","0.15255200494172913"
"122","244","244","244","0.15026856617278095","0.14718550427243943","0.15287493318479262"
"123","246","246","246","0.14734944923550788","0.1443578012602972","0.1510483011642878"
"124","248","248","248","0.14986572148453084","0.14830448325965095","0.1513449243917851"
"125","250","250","250","0.14771456541003317","0.14532584611385715","0.15078358212573006"
"126","252","252","252","0.14763396858459735","0.14413429308518935","0.15158077981936743"
"127","254","254","254","0.14884917858481084","0.14775453764992746","0.150735883125138"
"128","256","256","256","0.14891617449776695","0.14737135152058065","0.15026141850008842"
"129","258","258","258","0.14917292551797515","0.14775370842461819","0.15233008944079626"
"130","260","260","260","0.14777656572154668","0.14532434255605642","0.15175501087719387"
"131","262","262","262","0.14886895567803973","0.1453352603547404","0.15532307609425183"
"132","264","264","264","0.1485936710319175","0.1462142589669721","0.15022267123999172"
"133","266","266","266","0.14763251841321395","0.14577541136821578","0.14969074824835124"
"134","268","268","268","0.14842924525579643","0.14727645022154962","0.1501802730896878"
"135","270","270","270","0.14718945001165062","0.14342877538109353","0.15146080513818969"
"136","272","272","272","0.1490968655139051","0.14635196317920363","0.15509830141159525"
"137","274","274","274","0.14732190985428534","0.14559227343997072","0.14882296905239167"
