"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"83","166","166","166","0.8620379993001996","0.8603496511964989","0.8642573537689127"
"84","168","168","168","0.8615625316452661","0.8570688129129443","0.8643371799092818"
"85","170","170","170","0.8621167769802014","0.856446073929843","0.8644494322596092"
"86","172","172","172","0.8619726195010555","0.8588293853014795","0.8644557386906282"
"87","174","174","174","0.8624480689099443","0.8604901968919868","0.8639888948608322"
"88","176","176","176","0.8620555641118107","0.8605697728209768","0.8637918490424874"
"89","178","178","178","0.8632867421493493","0.8614598335016744","0.8651372281600217"
"90","180","180","180","0.8624142242214285","0.8603177340603717","0.8656363732318283"
"91","182","182","182","0.8634749562604114","0.8626605941194218","0.8641504878122989"
"92","184","184","184","0.8619212211583347","0.8588599873177706","0.865880333727207"
"93","186","186","186","0.863411143672708","0.8584166506552938","0.8679594709843725"
"94","188","188","188","0.8617464368776044","0.8582986576905226","0.863102571110366"
"95","190","190","190","0.8645946860455949","0.8628905876582511","0.8674716200381393"
"96","192","192","192","0.8641957575549647","0.8613082063141838","0.867117357168228"
"97","194","194","194","0.8635761581578502","0.8613432538228831","0.864900773175878"
"98","196","196","196","0.8640653115768911","0.8602275414012802","0.8674785532644075"
"99","198","198","198","0.8648883411118578","0.8605188962576549","0.8678762087232256"
"100","200","200","200","0.8640193793556206","0.8616739266380797","0.86723895162469"
"101","202","202","202","0.8639636568795778","0.8596864104452003","0.8671757925564153"
"102","204","204","204","0.8654334243660242","0.8634843430203945","0.8674214425816232"
"103","206","206","206","0.8652672022923203","0.8630426707164851","0.867156666166606"
"104","208","208","208","0.8649717649474958","0.8604744252647392","0.8679956028245233"
"105","210","210","210","0.8661624188060475","0.8632156956325351","0.8704779718127618"
"106","212","212","212","0.8663034699089062","0.8626751184011375","0.8687509209675287"
"107","214","214","214","0.8665544828782137","0.8626181886565153","0.8693031448858508"
"108","216","216","216","0.8666932893595298","0.8622950711400464","0.8680952568469051"
"109","218","218","218","0.8664394486616749","0.8641510662647465","0.8683624600691288"
"110","220","220","220","0.8664250746076325","0.8639309585148677","0.8691083013812627"
"111","222","222","222","0.8665712406912313","0.8636678814726472","0.8681052804732173"
"112","224","224","224","0.8662679510742086","0.8644168761729767","0.867469716534953"
"113","226","226","226","0.8664014813994664","0.864515103353361","0.8683888464631645"
"114","228","228","228","0.8659277357099772","0.8610926407990284","0.8691519455360499"
"115","230","230","230","0.8669993289640496","0.865286549841728","0.8691444302597489"
"116","232","232","232","0.8657537568855741","0.8628026532547137","0.8688001145821574"
"117","234","234","234","0.8665335201106112","0.8632648079475779","0.8696097779342281"
"118","236","236","236","0.8662751173964562","0.8621309120680151","0.8697217521202079"
"119","238","238","238","0.8661906467525066","0.8605682301672082","0.8695825268034617"
"120","240","240","240","0.8655163865519823","0.8604355385428675","0.8682077642558179"
"121","242","242","242","0.8657789757627661","0.8609463717769672","0.8696036605270234"
"122","244","244","244","0.8677743496631359","0.8633781250949821","0.870305700574687"
"123","246","246","246","0.8660746358049967","0.8633736772427394","0.8686235684922117"
"124","248","248","248","0.8675821376079357","0.8616373094486286","0.8694788107988218"
"125","250","250","250","0.8665222240503463","0.8624020021311103","0.8691741729146885"
"126","252","252","252","0.8672406618501043","0.8639831377408389","0.8713204866784525"
"127","254","254","254","0.8679811718615715","0.8640761689763922","0.8698603305265301"
"128","256","256","256","0.8665960501126566","0.8616902348176614","0.8700993816994739"
"129","258","258","258","0.8666300023680981","0.863837232086198","0.8699622914002786"
"130","260","260","260","0.8682927930205278","0.8668072303616584","0.8700700981657418"
"131","262","262","262","0.8663616031636188","0.8636750548595059","0.868634869776185"
"132","264","264","264","0.8664030959991269","0.8649733569752841","0.8670316305558796"
"133","266","266","266","0.8684947615658596","0.8661739132794242","0.8712954121938318"
"134","268","268","268","0.8689090802533407","0.866269990545206","0.8741933494170948"
"135","270","270","270","0.8681820339732227","0.8661380637397794","0.8705624936016035"
"136","272","272","272","0.8678187996065574","0.8646220349670687","0.8698821885897478"
"137","274","274","274","0.8673631677814988","0.8655103419308919","0.8696645214760905"
"138","276","276","276","0.8687219276902066","0.8666865135544731","0.8702285607774957"
"139","278","278","278","0.8700575023831641","0.8686073259643597","0.8719162461208899"
"140","280","280","280","0.8702681703371962","0.8682668312627296","0.872067684329945"
"141","282","282","282","0.8714513614052443","0.8685524752017127","0.8742832858388309"
"142","284","284","284","0.8704709029949498","0.8685154998877165","0.8722377137559856"
"143","286","286","286","0.8692361579057921","0.8644886520025308","0.8717204952521207"
"144","288","288","288","0.8688487080388843","0.8646826526085761","0.8721215454916428"
"145","290","290","290","0.8705921274728261","0.868284207719137","0.8764769609848232"
"146","292","292","292","0.8693572257995121","0.8682123738075588","0.870264714132222"
"147","294","294","294","0.8688613623557726","0.8672276057671582","0.8706294439477947"
"148","296","296","296","0.8688129312315228","0.866405646497316","0.8729616295323189"
"149","298","298","298","0.8698802652149148","0.8683289716710494","0.8718757594929701"
"150","300","300","300","0.8699860339304818","0.8659887221708752","0.8739602577350322"
"151","302","302","302","0.8702071631806174","0.868201175560688","0.872337073201714"
