"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"0","0","0","0","0.41046800254870963","0.40809714341550984","0.41688004279649515"
"1","2","2","2","0.3624981497296639","0.3606896420907415","0.36394611910812313"
"2","4","4","4","0.3417242414972957","0.32979622673896714","0.34800450538248384"
"3","6","6","6","0.3206785234827364","0.3126777006685648","0.32570725039980947"
"4","8","8","8","0.3048699167282093","0.30044418893620406","0.3104895944717047"
"5","10","10","10","0.2917787383706921","0.2886540035958265","0.29482438417693385"
"6","12","12","12","0.2814226381365495","0.2744756247203837","0.28656798253179644"
"7","14","14","14","0.2725815220133424","0.2678574830355546","0.27854607613260896"
"8","16","16","16","0.27163952697404925","0.26697202636471506","0.2761491757201973"
"9","18","18","18","0.2576566557548755","0.252788548856611","0.26396343500462804"
"10","20","20","20","0.2551208231876939","0.24920579610000834","0.26102320025980613"
"11","22","22","22","0.24956435928402976","0.2430705244532363","0.2546018788447571"
"12","24","24","24","0.24499606547553482","0.2412621917845064","0.24883502629748677"
"13","26","26","26","0.2389670100951994","0.23368068499473288","0.24600238745617575"
"14","28","28","28","0.23412113103887539","0.22981199356280785","0.2371880060685952"
"15","30","30","30","0.23071088595345723","0.2243921096963235","0.23678506661606574"
"16","32","32","32","0.22342002577975922","0.2194567757015247","0.2279003136526987"
"17","34","34","34","0.22197791306504183","0.21918540728342004","0.2249909230975558"
"18","36","36","36","0.21906656999511048","0.21618812177770708","0.22271142719144862"
"19","38","38","38","0.21861012029237967","0.2148468728015021","0.2212969226217817"
"20","40","40","40","0.21504469083932892","0.21027682376241058","0.2233319071223739"
"21","42","42","42","0.21087232852016782","0.20657645783395645","0.21524028029935677"
"22","44","44","44","0.20717909369775214","0.2055631106916838","0.20969096909224313"
"23","46","46","46","0.20367379152632153","0.20123243519712952","0.20525061230589492"
"24","48","48","48","0.2039090779688492","0.1987403023661909","0.20765080135472752"
"25","50","50","50","0.19977729341922415","0.19454272144726717","0.20829886789629207"
"26","52","52","52","0.19686592330196576","0.1939149186266604","0.1984334635268768"
"27","54","54","54","0.19614556873111405","0.19418389025042293","0.19984366088643357"
"28","56","56","56","0.19215686721363473","0.19008561268581295","0.19363053636291822"
"29","58","58","58","0.19256758779177308","0.18834530647728276","0.19755981346073856"
"30","60","60","60","0.18835302970891168","0.1862242373438307","0.19082406942862687"
"31","62","62","62","0.19127723014238157","0.18702863729956992","0.19404165001153162"
"32","64","64","64","0.18741643972191196","0.18472246927394","0.18949393198451064"
"33","66","66","66","0.1858188202690114","0.18433376696308734","0.1895596527262574"
