"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - ci_val","Name: hopfield_full - ci_val__MIN","Name: hopfield_full - ci_val__MAX"
"0","0","0","0","0.7048521826695441","0.6981348077260806","0.7084919339889784"
"1","2","2","2","0.725791434071872","0.7198803951417736","0.7342028654093085"
"2","4","4","4","0.740861487741759","0.7356685931134657","0.744185552310213"
"3","6","6","6","0.75174436235317","0.7449798419894965","0.7575169497081014"
"4","8","8","8","0.7567687162060187","0.7482743904106528","0.7622551235298306"
"5","10","10","10","0.7621576432386774","0.7537799989165637","0.7716739148035057"
"6","12","12","12","0.7647736553895323","0.7574644015493933","0.7705110621462121"
"7","14","14","14","0.7693481423030135","0.7606933840118654","0.7720867003484169"
"8","16","16","16","0.7714688443222041","0.7655943664140896","0.7747336155045483"
"9","18","18","18","0.7772296868048555","0.7735259967551117","0.7829279006949739"
"10","20","20","20","0.7788413999927568","0.774754417370276","0.7837818146569826"
"11","22","22","22","0.7835606614280368","0.7815499344107141","0.7878384535492094"
"12","24","24","24","0.7859656357455418","0.7834156709376674","0.7880640494830746"
"13","26","26","26","0.7882756446198433","0.7807873055656359","0.792972255210507"
"14","28","28","28","0.7898977829805848","0.7867814440833338","0.7918858955743637"
"15","30","30","30","0.7915300654637072","0.7885294036843584","0.7948287903693904"
"16","32","32","32","0.7954708607905079","0.7911925386567797","0.7982315124796778"
"17","34","34","34","0.7971057967399832","0.7927023268983171","0.8011377734898645"
"18","36","36","36","0.7984711501342405","0.7927093700534926","0.8021687546668816"
"19","38","38","38","0.8000998405873547","0.7974615482291905","0.8028130498575672"
"20","40","40","40","0.800981056877559","0.7973455976803997","0.8048547503992775"
"21","42","42","42","0.8061941365458354","0.8025008171816925","0.8093187655672172"
"22","44","44","44","0.8063877966757487","0.8024085850504148","0.8094613070237044"
"23","46","46","46","0.8060489357446693","0.8030448200773684","0.8096463124462443"
"24","48","48","48","0.8085961053308852","0.8074336650179824","0.8097672417242335"
"25","50","50","50","0.8111213957559951","0.8082273051248112","0.8135173304124969"
"26","52","52","52","0.8125861814880633","0.8082739517409999","0.8150911216307183"
"27","54","54","54","0.8124189417930516","0.8086027671384","0.8154297570032688"
"28","56","56","56","0.8162924164616315","0.8136624176697975","0.8194935051743886"
"29","58","58","58","0.8151954875559955","0.8126883064846676","0.8193656351219447"
"30","60","60","60","0.8183441948352831","0.8139390540312318","0.820847519844286"
"31","62","62","62","0.8196641596898209","0.8179511532023143","0.8213638596569884"
"32","64","64","64","0.8206092557994188","0.8198803971346932","0.8215423161746583"
"33","66","66","66","0.8218279613858712","0.8188581963879517","0.8271446251100205"
"34","68","68","68","0.8239130031238766","0.8213442721982729","0.8273550859282951"
